Name;Credits;Teacher Name;NRC;AmountStudents
Ingenieria economica;4;Diana milen ramirez jaramillo;11144;20
Proyecto integrador I;3;Juan Manuel Reyes y Cristian;10446;25
Modelado de sistemas de infomacion;2;çngela Villota;10445;25
Electricidad magnetismo y Laboratorio;4;Hern‡n Triana;10819;18
LAB - Electricidad-magentismo y Laboratorio;0;Luis Giraldo;10818;19
Matematica Discreta;3;Uram Anibal Sosa;10394;22
Inferencia estadistica;3;;10342;29
Calculo de una variable;4;;10384;30
Liderazgo;3;;10903;30
Frances I;0;;10294;21
Aleman II;0;;10321;12
LAB - Fisica y Laboratorio;0;;10816;18
Calculo varias variables;4;;10391;30
Fisica y Laboratorio;4;;10809;18
Informatica Teorica;3;Andres Aristizabal;10406;23
Electiva en problemas Colombianos: Ensayos para la habana;3;Luis Baron Porras;11976;24
Fisica y Laboratorio;4;Hernan Triana;10809;18
